event_id,location,time_start,time_end,direction,class,footage_id
0,estkowskiego,2025-08-06 13:43:29.940,2025-08-06 13:43:30.500,right,truck,estkowskiego_06-08-13-42
1,estkowskiego,2025-08-06 13:44:09.260,2025-08-06 13:44:10.380,right,truck,estkowskiego_06-08-13-42
2,estkowskiego,2025-08-06 13:44:26.740,2025-08-06 13:44:27.340,right,truck,estkowskiego_06-08-13-42
3,estkowskiego,2025-08-06 13:44:42.160,2025-08-06 13:44:47.920,left,tram,estkowskiego_06-08-13-42
4,estkowskiego,2025-08-06 13:45:38.040,2025-08-06 13:45:38.040,unknown,truck,estkowskiego_06-08-13-42
5,estkowskiego,2025-08-06 13:45:42.180,2025-08-06 13:45:42.820,right,truck,estkowskiego_06-08-13-42
7,estkowskiego,2025-08-06 13:47:46.100,2025-08-06 13:47:52.160,right,tram,estkowskiego_06-08-13-42
8,estkowskiego,2025-08-06 13:48:02.740,2025-08-06 13:48:08.160,left,tram,estkowskiego_06-08-13-42
9,estkowskiego,2025-08-06 13:48:12.720,2025-08-06 13:48:12.720,unknown,truck,estkowskiego_06-08-13-42
10,estkowskiego,2025-08-06 13:48:21.160,2025-08-06 13:48:23.520,right,truck,estkowskiego_06-08-13-42
11,estkowskiego,2025-08-06 13:49:54.220,2025-08-06 13:49:54.380,right,truck,estkowskiego_06-08-13-42
12,estkowskiego,2025-08-06 13:50:17.080,2025-08-06 13:50:17.880,right,truck,estkowskiego_06-08-13-42
13,estkowskiego,2025-08-06 13:51:04.220,2025-08-06 13:51:05.200,right,truck,estkowskiego_06-08-13-42
14,estkowskiego,2025-08-06 13:51:13.120,2025-08-06 13:51:14.820,left,tram,estkowskiego_06-08-13-42
15,estkowskiego,2025-08-06 13:51:21.580,2025-08-06 13:51:21.580,unknown,truck,estkowskiego_06-08-13-42
16,estkowskiego,2025-08-06 13:51:36.360,2025-08-06 13:51:42.660,right,tram,estkowskiego_06-08-13-42
17,estkowskiego,2025-08-06 13:53:06.340,2025-08-06 13:53:06.500,right,truck,estkowskiego_06-08-13-42
18,estkowskiego,2025-08-06 13:53:13.040,2025-08-06 13:53:13.960,right,truck,estkowskiego_06-08-13-42
19,estkowskiego,2025-08-06 13:54:04.500,2025-08-06 13:54:11.500,left,truck,estkowskiego_06-08-13-42
20,estkowskiego,2025-08-06 13:54:16.560,2025-08-06 13:54:16.960,right,truck,estkowskiego_06-08-13-42
21,estkowskiego,2025-08-06 13:55:33.800,2025-08-06 13:55:34.440,right,truck,estkowskiego_06-08-13-42
22,estkowskiego,2025-08-06 13:55:45.820,2025-08-06 13:55:53.180,right,truck,estkowskiego_06-08-13-42
23,estkowskiego,2025-08-06 13:58:21.380,2025-08-06 13:58:21.440,unknown,tram,estkowskiego_06-08-13-42
24,estkowskiego,2025-08-06 13:59:02.940,2025-08-06 13:59:04.500,right,truck,estkowskiego_06-08-13-42
25,estkowskiego,2025-08-06 13:59:10.000,2025-08-06 13:59:10.740,right,truck,estkowskiego_06-08-13-42
26,estkowskiego,2025-08-06 14:01:00.440,2025-08-06 14:01:03.060,left,tram,estkowskiego_06-08-13-42
27,estkowskiego,2025-08-06 14:01:46.980,2025-08-06 14:01:47.160,right,truck,estkowskiego_06-08-13-42
28,estkowskiego,2025-08-06 14:03:06.940,2025-08-06 14:03:07.020,unknown,tram,estkowskiego_06-08-13-42
29,estkowskiego,2025-08-06 14:03:08.380,2025-08-06 14:03:10.660,left,tram,estkowskiego_06-08-13-42
30,estkowskiego,2025-08-06 14:04:17.640,2025-08-06 14:04:17.800,right,truck,estkowskiego_06-08-13-42
31,estkowskiego,2025-08-06 14:04:29.120,2025-08-06 14:04:29.160,right,truck,estkowskiego_06-08-13-42
32,estkowskiego,2025-08-06 14:04:42.780,2025-08-06 14:04:49.840,right,truck,estkowskiego_06-08-13-42
33,estkowskiego,2025-08-06 14:05:49.420,2025-08-06 14:05:49.880,right,truck,estkowskiego_06-08-13-42
34,estkowskiego,2025-08-06 14:06:54.640,2025-08-06 14:06:54.640,unknown,truck,estkowskiego_06-08-13-42
35,estkowskiego,2025-08-06 14:07:08.720,2025-08-06 14:07:09.080,right,truck,estkowskiego_06-08-13-42
36,estkowskiego,2025-08-06 14:07:16.820,2025-08-06 14:07:22.600,left,tram,estkowskiego_06-08-13-42
37,estkowskiego,2025-08-06 14:08:04.240,2025-08-06 14:08:12.460,right,truck,estkowskiego_06-08-13-42
38,garbary,2025-08-06 14:24:02.820,2025-08-06 14:24:03.700,left,tram,garbary_06-08-14-24
39,garbary,2025-08-06 14:28:30.080,2025-08-06 14:28:30.980,left,truck,garbary_06-08-14-24
40,garbary,2025-08-06 14:30:17.100,2025-08-06 14:30:51.060,left,truck,garbary_06-08-14-24
41,garbary,2025-08-06 14:30:57.880,2025-08-06 14:30:57.880,unknown,truck,garbary_06-08-14-24
42,garbary,2025-08-06 14:31:16.980,2025-08-06 14:31:17.440,right,truck,garbary_06-08-14-24
43,garbary,2025-08-06 14:32:58.800,2025-08-06 14:32:59.700,left,truck,garbary_06-08-14-24
44,garbary,2025-08-06 14:33:00.760,2025-08-06 14:33:05.680,left,truck,garbary_06-08-14-24
45,garbary,2025-08-06 14:33:31.860,2025-08-06 14:33:33.100,unknown,tram,garbary_06-08-14-24
46,garbary,2025-08-06 14:34:03.240,2025-08-06 14:34:03.800,right,tram,garbary_06-08-14-24
47,garbary,2025-08-06 14:35:23.060,2025-08-06 14:35:23.600,left,truck,garbary_06-08-14-24
