location,time_start,time_end,direction
pcss,2025-08-06 11:38:00.580,2025-08-06 11:38:02.360,right
pcss,2025-08-06 11:39:59.020,2025-08-06 11:40:02.040,left
pcss,2025-08-06 11:40:21.960,2025-08-06 11:40:29.220,right
pcss,2025-08-06 11:42:49.740,2025-08-06 11:42:56.640,right
pcss,2025-08-06 11:44:09.760,2025-08-06 11:44:17.600,left
estkowskiego,2025-08-06 13:44:42.820,2025-08-06 13:44:46.540,left
estkowskiego,2025-08-06 13:47:48.860,2025-08-06 13:47:50.200,right
estkowskiego,2025-08-06 13:48:02.720,2025-08-06 13:48:07.020,left
estkowskiego,2025-08-06 13:51:13.200,2025-08-06 13:51:14.420,left
estkowskiego,2025-08-06 13:51:38.580,2025-08-06 13:51:40.700,right
estkowskiego,2025-08-06 13:55:46.180,2025-08-06 13:55:51.740,right
estkowskiego,2025-08-06 14:01:01.560,2025-08-06 14:01:03.000,left
estkowskiego,2025-08-06 14:03:06.920,2025-08-06 14:03:09.020,left
estkowskiego,2025-08-06 14:04:45.020,2025-08-06 14:04:49.440,right
estkowskiego,2025-08-06 14:07:16.700,2025-08-06 14:07:20.700,left
estkowskiego,2025-08-06 14:08:08.220,2025-08-06 14:08:11.440,right
