location,time_start,time_end,direction
pcss,2025-08-06 11:38:00.580,2025-08-06 11:38:02.360,right
pcss,2025-08-06 11:39:59.020,2025-08-06 11:40:02.040,left
pcss,2025-08-06 11:40:21.960,2025-08-06 11:40:29.220,right
pcss,2025-08-06 11:42:49.740,2025-08-06 11:42:56.640,right
pcss,2025-08-06 11:44:09.760,2025-08-06 11:44:17.600,left
estkowskiego,2025-08-06 13:44:42.820,2025-08-06 13:44:46.540,left
estkowskiego,2025-08-06 13:47:48.860,2025-08-06 13:47:50.200,right
estkowskiego,2025-08-06 13:48:02.720,2025-08-06 13:48:07.020,left
estkowskiego,2025-08-06 13:51:13.200,2025-08-06 13:51:14.420,left
estkowskiego,2025-08-06 13:51:38.580,2025-08-06 13:51:40.700,right
estkowskiego,2025-08-06 13:55:46.180,2025-08-06 13:55:51.740,right
estkowskiego,2025-08-06 14:01:01.560,2025-08-06 14:01:03.000,left
estkowskiego,2025-08-06 14:03:06.920,2025-08-06 14:03:09.020,left
estkowskiego,2025-08-06 14:04:45.020,2025-08-06 14:04:49.440,right
estkowskiego,2025-08-06 14:07:16.700,2025-08-06 14:07:20.700,left
estkowskiego,2025-08-06 14:08:08.220,2025-08-06 14:08:11.440,right
pcss,2025-07-08 14:57:30.020,2025-07-08 14:57:31.440,left
pcss,2025-07-08 14:58:49.220,2025-07-08 14:58:49.220,unknown
pcss,2025-07-08 14:59:37.080,2025-07-08 14:59:37.160,right
pcss,2025-07-08 15:03:55.740,2025-07-08 15:03:55.840,right
pcss,2025-07-08 15:03:57.600,2025-07-08 15:03:58.800,right
pcss,2025-07-08 15:05:24.580,2025-07-08 15:05:26.180,left
pcss,2025-07-08 15:07:10.900,2025-07-08 15:07:11.020,right
pcss,2025-07-08 15:07:12.180,2025-07-08 15:07:13.640,right
pcss,2025-07-08 15:08:50.780,2025-07-08 15:08:50.920,left
pcss,2025-07-08 15:12:32.660,2025-07-08 15:12:40.820,left
pcss,2025-07-08 15:13:42.140,2025-07-08 15:13:42.420,right
pcss,2025-07-08 15:13:46.280,2025-07-08 15:13:46.280,unknown
pcss,2025-07-08 15:15:32.160,2025-07-08 15:15:32.720,unknown
pcss,2025-07-08 15:15:36.400,2025-07-08 15:15:36.400,unknown
pcss,2025-07-08 15:15:47.620,2025-07-08 15:15:48.460,right
pcss,2025-07-08 15:17:43.980,2025-07-08 15:17:45.520,left
pcss,2025-07-08 15:18:11.620,2025-07-08 15:18:12.300,right
pcss,2025-07-08 15:20:38.960,2025-07-08 15:20:41.320,right
pcss,2025-07-08 15:24:47.120,2025-07-08 15:24:47.120,unknown
pcss,2025-07-08 15:26:40.360,2025-07-08 15:26:42.060,left
