location,time_start,time_end,direction
most_mieszka,2025-06-08 12:53:11.000,2025-06-08 12:53:19.000,right
most_mieszka,2025-06-08 12:56:22.760,2025-06-08 12:56:24.620,right
most_mieszka,2025-06-08 12:58:13.020,2025-06-08 12:58:18.160,right
most_mieszka,2025-06-08 12:59:45.600,2025-06-08 12:59:50.580,left
most_mieszka,2025-06-08 13:00:20.820,2025-06-08 13:00:21.440,left
most_mieszka,2025-06-08 13:03:48.440,2025-06-08 13:03:51.560,left
most_mieszka,2025-06-08 13:05:42.200,2025-06-08 13:05:47.360,right
most_mieszka,2025-06-08 13:10:01.320,2025-06-08 13:10:06.380,right
most_mieszka,2025-06-08 13:13:30.200,2025-06-08 13:13:33.440,right
most_mieszka,2025-06-08 13:13:51.380,2025-06-08 13:13:59.480,left
most_mieszka,2025-06-08 13:16:36.600,2025-06-08 13:16:44.080,left
